filename,title,author,pos_trigram,example
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,De un alma
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_NOUN,cuerpos de hombre
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de otra alma
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de un cuerpo
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de un milagro
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de otro extraño
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_VERB,otro extraño diré
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de un dolor
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,por mi daño
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,para mi mal
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADJ,mi mal sola
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,en el mundo
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADJ,el mundo naciste
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_NOUN_ADJ,en ciervo ligero
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,do el tormento
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,en sus trabajos
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_VERB,sus trabajos verás
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_VERB,mi afrenta Verás
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,sobre su divisa
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,en su mal
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_NOUN,hecho del mundo
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_DET,favor a aquella
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,a aquella musa
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_DET_NOUN,decir mi dolor
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADP,el padrastro de
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_DET_NOUN,golpes mis desmayos
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_DET_NOUN,palabras los rayos
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADP,los rayos de
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_DET,rayos de su
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de su fuego
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADP,su fuego en
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,en la tierra
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_PRON_VERB,gente le nació
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de la quijada
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADP,la quijada de
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_DET,quijada de una
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de una serpiente
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADP,una serpiente de
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_DET,serpiente de un
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de un monte
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_NOUN_ADJ,al cierzo helado
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_DET,costumbre de diversas
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,de diversas ramas
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADJ,diversas ramas lleno
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,en la cumbre
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_VERB,la cumbre defiende
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_DET_NOUN,defiende el cerrado
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADJ,el cerrado seno
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_DET_NOUN,sol la lumbre
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADP,la lumbre con
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_DET,lumbre con las
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_DET_NOUN,con las hojas
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_VERB,las hojas compitiendo
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_DET_NOUN,compitiendo el sol
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_ADP,el sol a
